question,answer,category
¿El ladrillo F-PV cumple la NTC 4205?,"Sí. Nuestro ladrillo de fachada F-PV se fabrica bajo los criterios de las normas NTC 4205-2 (dimensiones y tolerancias) y NTC 4205-3 (propiedades físicas y mecánicas). Solicite la ficha técnica y certificados de ensayo en la sección Descargas.",Técnico
¿Cuál es la absorción de agua del producto?,"Los valores específicos por referencia están en la ficha técnica PDF. Para especificación de fachada, nuestro equipo técnico puede orientarle según la exposición climática de su proyecto.",Técnico
¿Qué mortero y junta recomiendan?,"Recomendamos juntas de 10 a 12 mm para fachada a la vista, mortero compatible con absorción del ladrillo y curado húmedo según detalle constructivo descargable.",Instalación
¿Cuánto tarda la producción de un pedido?,"Los tiempos dependen de referencia, volumen y acabado. En promedio, entre 4 y 8 semanas para pedidos a pedido. Consulte stock para proyectos urgentes.",Logística
¿Envían muestras físicas a estudios de arquitectura?,"Sí. Preparamos cajas de muestra con las tonalidades seleccionadas y las enviamos a su oficina. Solicítelas desde el formulario de contacto.",Comercial
¿Pueden fabricar piezas a medida?,"Sí. Desarrollamos esquineros, dovelas, celosías y piezas según plano bajo cotización de proyecto.",Comercial
¿Dónde está el taller?,"Km 2, vía Amagá - Angelópolis, Amagá, Antioquia. Visitas con cita previa de lunes a viernes.",Logística
¿Atienden proyectos fuera de Antioquia?,"Sí. Despachamos a todo Colombia. Para exportación, contáctenos para logística y cotización internacional.",Comercial
¿Cuál es el pedido mínimo?,"El mínimo varía por referencia. Indique metros cuadrados o unidades en el formulario y le enviamos cotización personalizada.",Comercial
¿Ofrecen asesoría técnica en obra?,"Sí. Nuestro equipo apoya en especificación, detalles constructivos y coordinación con la interventoría cuando el proyecto lo requiere.",Técnico
